constituency,constituency_code,runner_up_votes,winning_party,winning_votes,vote_difference
HARIRAMPUR,S2542,91112,All India Trinamool Congress,93098,1986
MANDIRBAZAR,S25135,91691,All India Trinamool Congress,93686,1995
MADHYAMGRAM,S25118,93596,All India Trinamool Congress,95995,2399
SITAI,S256,125467,All India Trinamool Congress,128188,2721
KHARAGPUR,S25228,95448,All India Trinamool Congress,98320,2872
AMDANGA,S25102,78675,All India Trinamool Congress,81670,2995
PATHARPRATIMA,S25130,112291,All India Trinamool Congress,117164,4873
KAMARHATI,S25112,59171,All India Trinamool Congress,64817,5646
RAIDIGHI,S25134,113034,All India Trinamool Congress,118991,5957
BARDHAMAN UTTAR,S25266,106228,All India Trinamool Congress,112688,6460
KUMARGANJ,S2538,76106,All India Trinamool Congress,82791,6685
HOWRAH DAKSHIN,S25173,92712,All India Trinamool Congress,100540,7828
NANOOR,S25287,111788,All India Trinamool Congress,119910,8122
FARAKKA,S2555,54857,Indian National Congress,63050,8193
KHANDAGHOSH,S25259,95899,All India Trinamool Congress,104183,8284
BASIRHAT DAKSHIN,S25124,103421,All India Trinamool Congress,112965,9544
KALIGANJ,S2580,79120,All India Trinamool Congress,89292,10172
KULPI,S25133,80883,All India Trinamool Congress,91266,10383
MOTHABARI,S2552,55209,All India Trinamool Congress,65705,10496
BAGNAN,S25180,93744,All India Trinamool Congress,105060,11316
PALASHIPARA,S2579,77787,All India Trinamool Congress,89241,11454
ULUBERIA PURBA,S25176,83795,All India Trinamool Congress,95633,11838
UDAYNARAYANPUR,S25182,93575,All India Trinamool Congress,105802,12227
SUTI,S2557,68973,All India Trinamool Congress,81330,12357
DHANEKHALI,S25197,110405,All India Trinamool Congress,123462,13057
BOLPUR,S25286,101727,All India Trinamool Congress,114915,13188
NALHATI,S25293,74298,All India Trinamool Congress,87744,13446
SWARUPNAGAR,S2598,78796,All India Trinamool Congress,94813,16017
HOWRAH MADHYA,S25171,79865,All India Trinamool Congress,95948,16083
SANKRAIL,S25174,88672,All India Trinamool Congress,105412,16740
ULUBERIA DAKSHIN,S25178,92462,All India Trinamool Congress,109649,17187
BARUIPUR PASCHIM,S25140,86919,All India Trinamool Congress,104781,17862
CHANDITALA,S25194,87480,All India Trinamool Congress,107143,19663
KASBA,S25149,96919,All India Trinamool Congress,117893,20974
CHOWRANGEE,S25162,40936,All India Trinamool Congress,62938,22002
JAYNAGAR,S25136,81844,All India Trinamool Congress,108194,26350
ITAHAR,S2536,70294,All India Trinamool Congress,98172,27878
NOWDA,S2574,58520,Aam Janata Unnayan party,86463,27943
CHAKULIA,S2531,62266,All India Trinamool Congress,90277,28011
HANSAN,S25292,74925,All India Trinamool Congress,103223,28298
BELEGHATA,S25164,65181,All India Trinamool Congress,93757,28576
BHARATPUR,S2569,60117,All India Trinamool Congress,90870,30753
CHAPRA,S2582,66305,All India Trinamool Congress,97085,30780
DIAMOND HARBOUR,S25143,88054,All India Trinamool Congress,119320,31266
MAGRAHAT PURBA,S25141,76805,All India Trinamool Congress,108412,31607
BARUIPUR PURBA,S25137,89172,All India Trinamool Congress,120987,31815
MINAKHAN,S25122,59787,All India Trinamool Congress,92079,32292
RATUA,S2548,74272,All India Trinamool Congress,106834,32562
MAHESHTALA,S25155,83898,All India Trinamool Congress,116811,32913
ENTALLY,S25163,60421,All India Trinamool Congress,94427,34006
SAGARDIGHI,S2560,56521,All India Trinamool Congress,90781,34260
BISHNUPUR,S25146,95722,All India Trinamool Congress,132647,36925
PANCHLA,S25175,85647,All India Trinamool Congress,123967,38320
BADURIA,S2599,63273,All India Trinamool Congress,103334,40061
ISLAMPUR,S2529,68054,All India Trinamool Congress,108117,40063
CANNING PASCHIM,S25138,79883,All India Trinamool Congress,120548,40665
DOMJUR,S25184,91859,All India Trinamool Congress,134036,42177
BUDGE BUDGE,S25156,80241,All India Trinamool Congress,127091,46850
HARISCHANDRAPUR,S2546,64833,All India Trinamool Congress,113104,48271
